crime_date,Year,Week,WeekDay,DayofYear,Holiday,Before,After,HolidayName,Unemployment,minTemp,maxTemp,precip,offense_count
4/1/2014,2014,14,3,91,0,0,0,0,5.3,33.8,59.4,0,176
4/2/2014,2014,14,4,92,0,0,0,0,5.3,27.9,51,0.05,180
4/3/2014,2014,14,5,93,0,0,0,0,5.3,31.2,44.7,0.21,130
4/4/2014,2014,14,6,94,0,0,0,0,5.3,25.4,52.4,0,155
4/5/2014,2014,14,7,95,0,0,0,0,5.3,33.4,57.4,0,141
4/6/2014,2014,15,1,96,0,0,0,0,5.3,32.7,54.2,0,162
4/7/2014,2014,15,2,97,0,0,0,0,5.3,36,53.8,0,194
4/8/2014,2014,15,3,98,0,0,0,0,5.3,31.8,69.6,0,172
4/9/2014,2014,15,4,99,0,0,0,0,5.3,44.9,75.2,0,187
4/10/2014,2014,15,5,100,0,0,0,0,5.3,40.7,71,0,156
4/11/2014,2014,15,6,101,0,0,0,0,5.3,39.4,77.6,0,231
4/12/2014,2014,15,7,102,0,0,0,0,5.3,48.1,73.1,0,199
4/13/2014,2014,16,1,103,0,0,0,0,5.3,21.3,49.1,0.13,140
4/14/2014,2014,16,2,104,0,0,0,0,5.3,19.4,40.3,0,175
4/15/2014,2014,16,3,105,0,0,0,0,5.3,30.5,65,0,180
4/16/2014,2014,16,4,106,0,0,0,0,5.3,40.4,54.3,0,193
4/17/2014,2014,16,5,107,0,0,0,0,5.3,32.6,63.9,0,140
4/18/2014,2014,16,6,108,0,0,0,0,5.3,40.2,79,0,181
4/19/2014,2014,16,7,109,0,0,0,0,5.3,50.1,68,0.02,166
4/20/2014,2014,17,1,110,0,0,0,0,5.3,42.7,71.7,0,158
4/21/2014,2014,17,2,111,0,0,0,0,5.3,43,68.4,0,206
4/22/2014,2014,17,3,112,0,0,0,0,5.3,45.1,78.4,0,192
4/23/2014,2014,17,4,113,0,0,0,0,5.3,41.9,73.2,0.46,175
4/24/2014,2014,17,5,114,0,0,0,0,5.3,35.7,65.5,0,166
4/25/2014,2014,17,6,115,0,0,0,0,5.3,40,74.1,0,193
4/26/2014,2014,17,7,116,0,0,0,0,5.3,46.9,76.4,0,191
4/27/2014,2014,18,1,117,0,0,0,0,5.3,43.2,55.4,0.12,146
4/28/2014,2014,18,2,118,0,0,0,0,5.3,36.7,53,0,186
4/29/2014,2014,18,3,119,0,0,0,0,5.3,38.9,52.2,0,191
4/30/2014,2014,18,4,120,0,0,0,0,5.3,32.3,50.3,0,225
